scene,knob,metric,spearman_rho,spearman_p,is_monotonic
A_rolling_droplet,wetness,rms_db,0.821,0.0234,True
A_rolling_droplet,wetness,dyn_db,-0.821,0.0234,True
A_rolling_droplet,wetness,centroid_hz,0.964,0.0005,True
A_rolling_droplet,wetness,flatness,-0.964,0.0005,True
A_rolling_droplet,wetness,log_spec_dist_ref,0.607,0.1482,False
A_rolling_droplet,granularity,rms_db,0.25,0.5887,False
A_rolling_droplet,granularity,dyn_db,-0.25,0.5887,False
A_rolling_droplet,granularity,centroid_hz,-0.893,0.0068,True
A_rolling_droplet,granularity,flatness,0.429,0.3374,False
A_rolling_droplet,granularity,log_spec_dist_ref,0.0,1.0,False
A_rolling_droplet,rigidity,rms_db,-0.821,0.0234,True
A_rolling_droplet,rigidity,dyn_db,0.893,0.0068,True
A_rolling_droplet,rigidity,centroid_hz,0.857,0.0137,True
A_rolling_droplet,rigidity,flatness,0.893,0.0068,True
A_rolling_droplet,rigidity,log_spec_dist_ref,-0.679,0.0938,False
A_rolling_droplet,resonance,rms_db,0.0,1.0,False
A_rolling_droplet,resonance,dyn_db,0.0,1.0,False
A_rolling_droplet,resonance,centroid_hz,0.0,1.0,False
A_rolling_droplet,resonance,flatness,0.0,1.0,False
A_rolling_droplet,resonance,log_spec_dist_ref,0.0,1.0,False
A_rolling_droplet,continuity,rms_db,-0.536,0.2152,False
A_rolling_droplet,continuity,dyn_db,0.536,0.2152,False
A_rolling_droplet,continuity,centroid_hz,1.0,0.0,True
A_rolling_droplet,continuity,flatness,1.0,0.0,True
A_rolling_droplet,continuity,log_spec_dist_ref,-0.107,0.8192,False
B_liquid_rock_impact,wetness,rms_db,0.179,0.7017,False
B_liquid_rock_impact,wetness,dyn_db,0.714,0.0713,True
B_liquid_rock_impact,wetness,centroid_hz,0.857,0.0137,True
B_liquid_rock_impact,wetness,flatness,0.929,0.0025,True
B_liquid_rock_impact,wetness,log_spec_dist_ref,-0.286,0.5345,False
B_liquid_rock_impact,granularity,rms_db,0.0,1.0,False
B_liquid_rock_impact,granularity,dyn_db,0.0,1.0,False
B_liquid_rock_impact,granularity,centroid_hz,0.0,1.0,False
B_liquid_rock_impact,granularity,flatness,0.0,1.0,False
B_liquid_rock_impact,granularity,log_spec_dist_ref,0.0,1.0,False
B_liquid_rock_impact,rigidity,rms_db,-0.464,0.2939,False
B_liquid_rock_impact,rigidity,dyn_db,-0.321,0.4821,False
B_liquid_rock_impact,rigidity,centroid_hz,0.964,0.0005,True
B_liquid_rock_impact,rigidity,flatness,1.0,0.0,True
B_liquid_rock_impact,rigidity,log_spec_dist_ref,-0.071,0.879,False
B_liquid_rock_impact,resonance,rms_db,1.0,0.0,True
B_liquid_rock_impact,resonance,dyn_db,1.0,0.0,True
B_liquid_rock_impact,resonance,centroid_hz,-1.0,0.0,True
B_liquid_rock_impact,resonance,flatness,-1.0,0.0,True
B_liquid_rock_impact,resonance,log_spec_dist_ref,-0.143,0.7599,False
B_liquid_rock_impact,continuity,rms_db,-0.321,0.4821,False
B_liquid_rock_impact,continuity,dyn_db,-0.179,0.7017,False
B_liquid_rock_impact,continuity,centroid_hz,-0.857,0.0137,True
B_liquid_rock_impact,continuity,flatness,0.071,0.879,False
B_liquid_rock_impact,continuity,log_spec_dist_ref,0.321,0.4821,False
C_wet_gravel_scrape,wetness,rms_db,-0.821,0.0234,True
C_wet_gravel_scrape,wetness,dyn_db,-0.071,0.879,False
C_wet_gravel_scrape,wetness,centroid_hz,1.0,0.0,True
C_wet_gravel_scrape,wetness,flatness,1.0,0.0,True
C_wet_gravel_scrape,wetness,log_spec_dist_ref,-0.286,0.5345,False
C_wet_gravel_scrape,granularity,rms_db,-1.0,0.0,True
C_wet_gravel_scrape,granularity,dyn_db,-1.0,0.0,True
C_wet_gravel_scrape,granularity,centroid_hz,-1.0,0.0,True
C_wet_gravel_scrape,granularity,flatness,0.0,1.0,False
C_wet_gravel_scrape,granularity,log_spec_dist_ref,0.143,0.7599,False
C_wet_gravel_scrape,rigidity,rms_db,0.0,1.0,False
C_wet_gravel_scrape,rigidity,dyn_db,0.0,1.0,False
C_wet_gravel_scrape,rigidity,centroid_hz,0.0,1.0,False
C_wet_gravel_scrape,rigidity,flatness,0.0,1.0,False
C_wet_gravel_scrape,rigidity,log_spec_dist_ref,0.0,1.0,False
C_wet_gravel_scrape,resonance,rms_db,0.0,1.0,False
C_wet_gravel_scrape,resonance,dyn_db,0.0,1.0,False
C_wet_gravel_scrape,resonance,centroid_hz,0.0,1.0,False
C_wet_gravel_scrape,resonance,flatness,0.0,1.0,False
C_wet_gravel_scrape,resonance,log_spec_dist_ref,0.0,1.0,False
C_wet_gravel_scrape,continuity,rms_db,0.393,0.3833,False
C_wet_gravel_scrape,continuity,dyn_db,-0.036,0.9394,False
C_wet_gravel_scrape,continuity,centroid_hz,-0.393,0.3833,False
C_wet_gravel_scrape,continuity,flatness,-0.25,0.5887,False
C_wet_gravel_scrape,continuity,log_spec_dist_ref,-0.536,0.2152,False
